"20280","Peirsol Aaron","2004","03:31.0","time"
"20281","Henry Jodie","2004","03:57.0","time"
"20281","Jones Leisel","2004","03:57.0","time"
"20281","Rooney Giaan","2004","03:57.0","time"
"20281","Thomas Petria","2004","03:57.0","time"
"20282","Kirby Bill","2000","07:07.0","time"
"20282","Klim Michael","2000","07:07.0","time"
"20282","Pearson Todd","2000","07:07.0","time"
"20282","Thorpe Ian","2000","07:07.0","time"
"20283","Coughlin Natalie","2004","07:53.0","time"
"20283","Piper Carly","2004","07:53.0","time"
"20283","Sandeno Kaitlin","2004","07:53.0","time"
"20283","Vollmer Dana","2004","07:53.0","time"
"20284","Thorpe Ian","2000","03:41.0","time"
"20285","Evans Janet","1988","04:04.0","time"
"20286","Phelps Michael","2004","04:08.0","time"
"20287","Klochkova Yana","2000","04:34.0","time"
"20288","Popov Alexander","1992","21.91","time"
"20289","De Bruijn Inge","2000","24.13","time"
"20290","Bennett Brooke","2000","08:20.0","time"
"20318","Rezazadeh Hossein","2000","472.5","kg"
"20321","Tang Gonghong","2004","305","kg"
"20326","Taylan Nurcan","2004","210","kg"
"20328","Yang Xia","2000","225","kg"
"20330","Mutlu Halil","2000","305","kg"
"20331","Chen Yanqing","2004","237.5","kg"
"20334","Pechalov Nikolai","2000","325","kg"
"20335","Chen Xiaomin","2000","242.5","kg"
"20338","Boevski Galabin","2000","357.5","kg"
"20339","Liu Chunhong","2004","275","kg"
"20341","Zabolotnaia Natalia","2004","272.5","kg"
"20344","Sagir Taner","2004","375","kg"
