"1988","20044","15955","G","74.68","Meter"
"1988","20044","16153","B","67.3","Meter"
"1988","20044","16657","S","70.32","Meter"
"1988","20045","12148","G","8.72","Meter"
"1988","20045","12896","S","8.49","Meter"
"1988","20045","16336","B","8.27","Meter"
"1988","20046","10854","S","7.22","Meter"
"1988","20046","11709","G","7.4","Meter"
"1988","20046","16577","B","7.11","Meter"
"1988","20047","15720","B","2:10:59","Time"
"1988","20047","15791","G","2:10:32","Time"
"1988","20047","16641","S","2:10:47","Time"
"1988","20048","15912","B","2:26:21","Time"
"1988","20048","16270","S","2:25:53","Time"
"1988","20048","16327","G","2:25:40","Time"
"1988","20049","15814","G","5.9","Meter"
"1988","20049","15929","B","5.8","Meter"
"1988","20049","15985","S","5.85","Meter"
"1988","20051","10222","S","22.39","Meter"
"1988","20051","16021","B","21.99","Meter"
"1988","20051","16585","G","22.47","Meter"
"1988","20052","12689","S","21.07","Meter"
"1988","20052","16225","B","21.06","Meter"
"1988","20052","16234","G","22.24","Meter"
"1988","20084","16142","G","01:04.5","Time"
"1988","20084","16203","B","01:05.1","Time"
"1988","20084","16631","S","01:04.8","Time"
"1988","20088","10799","B","04:34.2","Time"
"1988","20088","14183","S","04:35.0","Time"
"1988","20088","16608","G","04:32.0","Time"
"1988","20099","12691","B","","Time"
"1988","20099","16044","G","","Time"
"1988","20099","16178","S","","Time"
"1988","20100","16249","S","","Time"
"1988","20100","16376","B","","Time"
"1988","20100","16464","G","","Time"
"1988","20101","10909","G","04:13.3","Time"
"1988","20101","12445","B","04:16.0","Time"
"1988","20101","14183","B","04:16.0","Time"
"1988","20101","15785","S","04:14.1","Time"
"1988","20101","15924","B","04:16.0","Time"
"1988","20101","16041","S","04:14.1","Time"
"1988","20101","16110","G","04:13.3","Time"
"1988","20101","16279","B","04:16.0","Time"
"1988","20101","16293","S","04:14.1","Time"
"1988","20101","16343","G","04:13.3","Time"
"1988","20101","16608","G","04:13.3","Time"
"1988","20101","16667","S","04:14.1","Time"
"1988","20239","11866","G","687.9","Score"
"1988","20239","15817","S","687.9","Score"
"1988","20239","16672","B","684.5","Score"
"1988","20240","13398","G","","Score"
"1988","20240","15908","B","","Score"
"1988","20240","16463","S","","Score"
"1988","20241","13160","B","694","Score"
"1988","20241","15778","S","694.2","Score"
"1988","20241","16259","G","695.6","Score"
"1988","20242","15854","G","","Score"
"1988","20242","16262","B","","Score"
"1988","20242","16541","S","","Score"
"1988","20243","15741","B","686","Score"
"1988","20243","16037","G","689","Score"
"1988","20243","16064","S","687","Score"
"1988","20246","10177","G","660","Score"
"1988","20246","13375","S","696","Score"
"1988","20246","13496","S","657","Score"
"1988","20246","15756","B","657","Score"
"1988","20246","16174","G","698","Score"
"1988","20246","16177","B","693","Score"
"1988","20248","15724","S","1275.6","Score"
"1988","20248","15871","G","1279.3","Score"
"1988","20248","16074","B","1275","Score"
"1988","20249","15846","S","702.8","Score"
"1988","20249","16625","G","703.9","Score"
"1988","20249","16683","B","701.9","Score"
"1988","20250","16219","S","","Score"
"1988","20250","16541","G","","Score"
"1988","20250","16576","B","","Score"
"1988","20253","15893","S","221","Score"
"1988","20253","16020","B","220","Score"
"1988","20253","16653","G","222","Score"
"1988","20256","15761","S","222","Score"
"1988","20256","16319","G","222","Score"
"1988","20256","16395","B","219","Score"
"1988","20259","15777","S","55.18","Time"
"1988","20259","16407","B","55.2","Time"
"1988","20259","16559","G","55.05","Time"
"1988","20260","10897","S","01:01.6","Time"
"1988","20260","16368","G","01:00.9","Time"
"1988","20260","16522","B","01:01.6","Time"
"1988","20261","11339","S","01:02.1","Time"
"1988","20261","16321","G","01:02.0","Time"
"1988","20261","16635","B","01:02.2","Time"
"1988","20262","15886","G","01:07.9","Time"
"1988","20262","15970","S","01:08.7","Time"
"1988","20262","16050","B","01:08.8","Time"
"1988","20263","10333","S","53.01","Time"
"1988","20263","16082","B","53.3","Time"
"1988","20263","16346","G","53","Time"
"1988","20264","13072","B","59.52","Time"
"1988","20264","16368","G","59","Time"
"1988","20264","16655","S","59.45","Time"
"1988","20265","10333","G","48.63","Time"
"1988","20265","10522","B","49.62","Time"
"1988","20265","16078","S","49.08","Time"
"1988","20266","13012","B","55.49","Time"
"1988","20266","14304","S","55.47","Time"
"1988","20266","16368","G","54.93","Time"
"1988","20267","15888","B","15:06.1","Time"
"1988","20267","16400","S","15:02.7","Time"
"1988","20267","16461","G","15:00.4","Time"
"1988","20268","15750","S","01:59.6","Time"
"1988","20268","16140","B","02:00.5","Time"
"1988","20268","16407","G","01:59.4","Time"
"1988","20269","10897","G","02:09.3","Time"
"1988","20269","16522","B","02:11.5","Time"
"1988","20269","16690","S","02:10.6","Time"
"1988","20270","11187","S","02:14.1","Time"
"1988","20270","16243","B","02:15.2","Time"
"1988","20270","16564","G","02:13.5","Time"
"1988","20271","15970","B","02:28.3","Time"
"1988","20271","16050","G","02:26.7","Time"
"1988","20271","16065","S","02:27.5","Time"
"1988","20272","16019","G","01:56.9","Time"
"1988","20272","16326","B","01:58.3","Time"
"1988","20272","16351","S","01:58.2","Time"
"1988","20273","16290","B","02:10.8","Time"
"1988","20273","16354","G","02:09.5","Time"
"1988","20273","16655","S","02:09.9","Time"
"1988","20274","10333","B","01:48.0","Time"
"1988","20274","11500","S","01:47.9","Time"
"1988","20274","15735","G","01:47.3","Time"
"1988","20275","13597","B","01:59.0","Time"
"1988","20275","15971","G","01:57.7","Time"
"1988","20275","16408","S","01:58.7","Time"
"1988","20276","10711","G","02:00.2","Time"
"1988","20276","16186","S","02:01.6","Time"
"1988","20276","16200","B","02:02.4","Time"
"1988","20277","11551","G","02:12.6","Time"
"1988","20277","15898","S","02:13.3","Time"
"1988","20277","16252","B","02:14.9","Time"
"1988","20278","10333","G","03:16.5","Time"
"1988","20278","13156","B","03:19.8","Time"
"1988","20278","14283","B","03:19.8","Time"
"1988","20278","15743","S","03:18.3","Time"
