"10108","Angelini Alberto","M","ITA","Water Polo"
"10109","Angerer Nadine","W","GER","Football"
"10110","Angle Kurt","M","USA","Wrestling"
"10111","Angulo Miguel Angel","M","ESP","Football"
"10112","Anikeeva Ekaterina","W","RUS","Water Polo"
"10113","Anisimova Natalya","W","EUN","Handball"
"10114","Anjum Saeed","M","PAK","Hockey"
"10115","Annan Alyson","W","AUS","Hockey"
"10116","Ansermet Michel","M","SUI","Shooting"
"10117","Antonie Peter","M","AUS","Rowing"
"10118","Antoniska Mariela","W","ARG","Hockey"
"10119","Antonova Elena","W","RUS","Synchronized Swimming"
"10120","Apanassenko Dmitri","M","EUN","Water Polo"
"10121","Appeldoorn Tessa","W","NED","Rowing"
"10122","Arad Yael","W","ISR","Judo"
"10123","Aragon Yovany","M","CUB","Baseball"
"10124","Aranzubia Daniel","M","ESP","Football"
"10125","Arapovic Franjo","M","CRO","Basketball"
"10126","Arcain Janeth","W","BRA","Basketball"
"10127","Archer Simon","M","GBR","Badminton"
"10128","Ariantho Antonius","M","INA","Badminton"
"10129","Arimori Yuko","W","JPN","Athletics"
"10130","Armstrong Jenny","W","AUS","Sailing"
"10131","Armstrong Lance","M","USA","Cycling"
"10132","Arnau Javier","M","ESP","Hockey"
"10133","Arnau Jordi","M","ESP","Hockey"
"10134","Arndt Judith","W","GER","Cycling"
"10135","Arrese Jordi","M","ESP","Tennis"
"10136","Arrojo Avila Rolando","M","CUB","Baseball"
"10137","Arrondo Ines","W","ARG","Hockey"
"10138","Arrue Francisco","M","CHI","Football"
"10139","Arsenault Samantha","W","USA","Swimming"
"10140","Artamonova Evgenya","W","EUN","Volleyball"
"10141","Chen Jing","W","TPE","Table Tennis"
"10142","Aryee Bernard","M","GHA","Football"
"10143","Arzhannikova Lyudmila","W","EUN","Archery"
"10144","Asaad Said S","M","QAT","Weightlifting"
"10145","Asanidze George","M","GEO","Weightlifting"
"10146","Asare Isaac","M","GHA","Football"
"10147","Ascuy Aguilera Feliberto","M","CUB","Wrestling"
"10148","Asell Marko","M","FIN","Wrestling"
"10149","Ashford Evelyn","W","USA","Athletics"
"10150","Asloum Brahim","M","FRA","Boxing"
"10151","Asrabaiev Anatoli","M","EUN","Shooting"
"10152","Astafei Galina","W","ROU","Athletics"
"10153","Astapkovich Igor","M","EUN","Athletics"
"10154","Astrup Heidi","W","DEN","Handball"
"10155","Atkins Jill","W","GBR","Hockey"
"10156","Attolico Francesco","M","ITA","Water Polo"
"10157","Attrill Louis","M","GBR","Rowing"
"10158","Audina Mia","W","INA","Badminton"
"10159","Austin Charles","M","USA","Athletics"
"10160","Austin Timothy","M","USA","Boxing"
"10161","Averaimo Gianni","M","ITA","Water Polo"
"10162","Avril Jacky","M","FRA","Canoe"
"10163","Ayala Roberto Fabian","M","ARG","Football"
"10164","Ayew Kwame","M","GHA","Football"
"10165","Aymar Luciana Paula","W","ARG","Hockey"
"10166","Azarova Elena","W","RUS","Synchronized Swimming"
"10167","Azcuy Filiberto","M","CUB","Wrestling"
"10168","Azevedo Luiz Felipe De","M","BRA","Equestrian"
"10169","Aznavuryan Karina","W","RUS","Fencing"
"10170","Azzi Jennifer","W","USA","Basketball"
"10171","Baar Roland","M","GER","Rowing"
"10172","Babakova Inha","W","UKR","Athletics"
"10173","Babangida Tijani","M","NGR","Football"
"10174","Babayaro Celestine","M","NGR","Football"
"10175","Babayaro Emmanuel","M","NGR","Football"
