"1988","20024","16015","30055","USA","S","10/01/1988"
"1988","20024","16060","30055","USA","S","10/01/1988"
"1988","20024","16204","30055","URS","G","10/01/1988"
"1988","20024","16330","30055","GDR","B","10/01/1988"
"1988","20024","16347","30055","GDR","B","10/01/1988"
"1988","20024","16405","30055","URS","G","10/01/1988"
"1988","20025","12152","30055","USA","G","09/28/1988"
"1988","20025","15941","30055","USA","B","09/28/1988"
"1988","20025","16440","30055","USA","S","09/28/1988"
"1988","20026","10458","30055","URS","G","09/26/1998"
"1988","20026","12682","30055","URS","B","09/26/1998"
"1988","20026","16330","30055","GDR","S","09/26/1998"
"1988","20027","15742","30055","SEN","S","09/25/1988"
"1988","20027","16325","30055","USA","B","09/25/1988"
"1988","20027","16402","30055","USA","G","09/25/1988"
"1988","20028","15959","30055","GDR","B","09/28/1988"
"1988","20028","15964","30055","AUS","G","09/28/1988"
"1988","20028","16204","30055","URS","S","09/28/1988"
"1988","20029","10253","30055","FRG","S","10/01/1988"
"1988","20029","16188","30055","GDR","B","10/01/1988"
"1988","20029","16348","30055","KEN","G","10/01/1988"
"1988","20031","14112","30055","GDR","S","09/30/1988"
"1988","20031","15986","30055","GDR","B","09/30/1988"
"1988","20031","16073","30055","URS","G","09/30/1988"
"1988","20032","15731","30055","MAR","B","09/26/1998"
"1988","20032","15875","30055","BRA","S","09/26/1998"
"1988","20032","15935","30055","KEN","G","09/26/1998"
"1988","20033","15975","30055","USA","B","09/26/1998"
"1988","20033","16640","30055","GDR","S","09/26/1998"
"1988","20033","16665","30055","GDR","G","09/26/1998"
"1988","20035","16484","30055","GDR","G","09/29/1988"
"1988","20035","16545","30055","CAN","B","09/29/1988"
"1988","20035","16638","30055","GDR","S","09/29/1988"
"1988","20036","13372","30055","GDR","G","10/01/1988"
"1988","20036","15887","30055","FRG","B","10/01/1988"
"1988","20036","16370","30055","URS","S","10/01/1988"
"1988","20037","15979","30055","GDR","S","09/29/1988"
"1988","20037","16038","30055","GDR","G","09/29/1988"
"1988","20037","16062","30055","BUL","B","09/29/1988"
"1988","20038","16235","30055","URS","G","09/26/1998"
"1988","20038","16498","30055","URS","S","09/26/1998"
"1988","20038","16569","30055","URS","B","09/26/1998"
"1988","20040","11709","30055","USA","G","09/24/1988"
"1988","20040","15762","30055","GDR","B","09/24/1988"
"1988","20040","16095","30055","GDR","S","09/24/1988"
"1988","20041","10655","30055","USA","S","09/25/1988"
"1988","20041","13490","30055","SWE","B","09/25/1988"
"1988","20041","15740","30055","URS","G","09/25/1988"
"1988","20041","16420","30055","URS","B","09/25/1988"
"1988","20042","11952","30055","BUL","S","09/30/1988"
"1988","20042","15822","30055","URS","B","09/30/1988"
"1988","20042","16444","30055","USA","G","09/30/1988"
"1988","20043","13112","30055","FIN","B","09/25/1988"
"1988","20043","14277","30055","TCH","S","09/25/1988"
"1988","20043","16164","30055","FIN","G","09/25/1988"
"1988","20044","15955","30055","GDR","G","09/26/1998"
"1988","20044","16153","30055","GDR","B","09/26/1998"
"1988","20044","16657","30055","GBR","S","09/26/1998"
"1988","20045","12148","30055","USA","G","09/26/1998"
"1988","20045","12896","30055","USA","S","09/26/1998"
"1988","20045","16336","30055","USA","B","09/26/1998"
"1988","20046","10854","30055","GDR","S","10/01/1988"
"1988","20046","11709","30055","USA","G","10/01/1988"
"1988","20046","16577","30055","URS","B","10/01/1988"
"1988","20047","15720","30055","DJI","B","10/02/1988"
"1988","20047","15791","30055","ITA","G","10/02/1988"
"1988","20047","16641","30055","KEN","S","10/02/1988"
"1988","20048","15912","30055","GDR","B","09/23/1988"
"1988","20048","16270","30055","AUS","S","09/23/1988"
"1988","20048","16327","30055","POR","G","09/23/1988"
"1988","20049","15814","30055","URS","G","09/28/1988"
"1988","20049","15929","30055","URS","B","09/28/1988"
"1988","20049","15985","30055","URS","S","09/28/1988"
"1988","20051","10222","30055","USA","S","09/23/1988"
"1988","20051","16021","30055","SUI","B","09/23/1988"
"1988","20051","16585","30055","GDR","G","09/23/1988"
"1988","20052","12689","30055","GDR","S","09/29/1988"
"1988","20052","16225","30055","CHN","B","09/29/1988"
"1988","20052","16234","30055","URS","G","09/29/1988"
"1988","20055","11972","30082","URS","B","09/24/1988"
"1988","20055","16198","30082","URS","S","09/24/1988"
"1988","20055","16268","30082","BUL","G","09/24/1988"
"1988","20061","10125","30056","YUG","S","09/30/1988"
"1988","20061","10801","30056","YUG","S","09/30/1988"
"1988","20061","11749","30056","YUG","S","09/30/1988"
"1988","20061","12011","30056","YUG","S","09/30/1988"
"1988","20061","12979","30056","YUG","S","09/30/1988"
"1988","20061","13092","30056","YUG","S","09/30/1988"
"1988","20061","14041","30056","YUG","S","09/30/1988"
"1988","20061","15770","30056","URS","G","09/30/1988"
"1988","20061","15793","30056","USA","B","09/30/1988"
"1988","20061","15803","30056","USA","B","09/30/1988"
"1988","20061","15838","30056","USA","B","09/30/1988"
"1988","20061","15880","30056","YUG","S","09/30/1988"
"1988","20061","15881","30056","YUG","S","09/30/1988"
"1988","20061","15884","30056","USA","B","09/30/1988"
"1988","20061","15987","30056","USA","B","09/30/1988"
"1988","20061","15999","30056","URS","G","09/30/1988"
"1988","20061","16112","30056","USA","B","09/30/1988"
"1988","20061","16119","30056","URS","G","09/30/1988"
"1988","20061","16172","30056","URS","G","09/30/1988"
"1988","20061","16242","30056","USA","B","09/30/1988"
"1988","20061","16269","30056","URS","G","09/30/1988"
"1988","20061","16301","30056","URS","G","09/30/1988"
"1988","20061","16359","30056","YUG","S","09/30/1988"
"1988","20061","16373","30056","URS","G","09/30/1988"
"1988","20061","16393","30056","USA","B","09/30/1988"
"1988","20061","16432","30056","YUG","S","09/30/1988"
"1988","20061","16458","30056","URS","G","09/30/1988"
"1988","20061","16502","30056","USA","B","09/30/1988"
"1988","20061","16510","30056","USA","B","09/30/1988"
"1988","20061","16533","30056","USA","B","09/30/1988"
"1988","20061","16535","30056","URS","G","09/30/1988"
"1988","20061","16572","30056","URS","G","09/30/1988"
"1988","20061","16584","30056","URS","G","09/30/1988"
"1988","20061","16632","30056","USA","B","09/30/1988"
"1988","20061","16634","30056","URS","G","09/30/1988"
"1988","20061","16686","30056","YUG","S","09/30/1988"
"1988","20062","10467","30056","USA","G","09/29/1988"
"1988","20062","10660","30056","USA","G","09/29/1988"
"1988","20062","10893","30056","USA","G","09/29/1988"
"1988","20062","11311","30056","URS","B","09/29/1988"
"1988","20062","11801","30056","URS","B","09/29/1988"
"1988","20062","12431","30056","USA","G","09/29/1988"
"1988","20062","12549","30056","URS","B","09/29/1988"
"1988","20062","13565","30056","URS","B","09/29/1988"
"1988","20062","14102","30056","USA","G","09/29/1988"
"1988","20062","14272","30056","URS","B","09/29/1988"
"1988","20062","15734","30056","YUG","S","09/29/1988"
"1988","20062","15748","30056","YUG","S","09/29/1988"
"1988","20062","15752","30056","URS","B","09/29/1988"
"1988","20062","15796","30056","URS","B","09/29/1988"
"1988","20062","15811","30056","USA","G","09/29/1988"
"1988","20062","15913","30056","USA","G","09/29/1988"
"1988","20062","15917","30056","YUG","S","09/29/1988"
"1988","20062","15939","30056","USA","G","09/29/1988"
"1988","20062","15942","30056","URS","B","09/29/1988"
"1988","20062","15995","30056","USA","G","09/29/1988"
"1988","20062","16005","30056","YUG","S","09/29/1988"
"1988","20062","16008","30056","USA","G","09/29/1988"
"1988","20062","16190","30056","YUG","S","09/29/1988"
"1988","20062","16193","30056","YUG","S","09/29/1988"
"1988","20062","16194","30056","URS","B","09/29/1988"
"1988","20062","16213","30056","YUG","S","09/29/1988"
"1988","20062","16217","30056","URS","B","09/29/1988"
